"S(2,0)AngScMom","S(2,0)Contrast","S(2,0)Correlat","S(2,0)SumOfSqs","S(2,0)InvDfMom","S(2,0)SumAverg","S(2,0)SumVarnc","S(2,0)SumEntrp","S(2,0)Entropy","S(2,0)DifVarnc","S(2,0)DifEntrp","S(0,2)AngScMom","S(0,2)Contrast","S(0,2)Correlat","S(0,2)SumOfSqs","S(0,2)InvDfMom","S(0,2)SumAverg","S(0,2)SumVarnc","S(0,2)SumEntrp","S(0,2)Entropy","S(0,2)DifVarnc","S(0,2)DifEntrp","S(2,2)AngScMom","S(2,2)Contrast","S(2,2)Correlat","S(2,2)SumOfSqs","S(2,2)InvDfMom","S(2,2)SumAverg","S(2,2)SumVarnc","S(2,2)SumEntrp","S(2,2)Entropy","S(2,2)DifVarnc","S(2,2)DifEntrp","S(2,-2)AngScMom","S(2,-2)Contrast","S(2,-2)Correlat","S(2,-2)SumOfSqs","S(2,-2)InvDfMom","S(2,-2)SumAverg","S(2,-2)SumVarnc","S(2,-2)SumEntrp","S(2,-2)Entropy","S(2,-2)DifVarnc","S(2,-2)DifEntrp","Label"
"0.79159589","0.4284988","0.8518222","1.4458941","0.94908561","2.6413536","5.3550775","0.27580127","0.33309773","0.40678446","0.1617778","0.79508041","0.2618384","0.91257843","1.4975617","0.95357833","2.6579941","5.7284085","0.2734627","0.32335561","0.24771778","0.14839665","0.7859156","0.55535363","0.806141","1.4323648","0.93883552","2.6323493","5.1741057","0.28054285","0.34499671","0.52209782","0.18553384","0.78646469","0.55767284","0.80483413","1.4287151","0.93868765","2.6317315","5.1571874","0.28012355","0.34488053","0.52400195","0.18581684","1"
"0.0057898812","18.034529","0.7871547","42.365345","0.30023401","37.550224","151.42685","1.6263028","2.4115592","8.1332062","0.96387542","0.0087992942","7.2424493","0.91090157","40.642967","0.43203673","36.664046","155.32942","1.6141179","2.2416725","3.6156072","0.78447928","0.0053683579","20.949953","0.75199662","42.237233","0.28029296","37.761927","147.99898","1.6259661","2.4332072","9.6876191","0.98872178","0.0052751428","23.75428","0.71702285","41.972082","0.26524185","37.702453","144.13405","1.6242447","2.4560679","10.271349","1.0268694","0"
"0.94817332","0.45132267","0.86557651","1.6787343","0.98399359","2.2738276","6.2636147","0.089196963","0.10683126","0.44618255","0.062858702","0.94861396","0.62281376","0.79453975","1.5156551","0.98289884","2.2582629","5.4398068","0.088273502","0.10536583","0.61570599","0.066658439","0.9474026","0.90901192","0.68711394","1.4526245","0.97957055","2.2389693","4.9014861","0.088388686","0.10667218","0.89697271","0.075826382","0.94761575","0.89383799","0.69447201","1.4627759","0.97977904","2.2401406","4.9572657","0.088202349","0.10661686","0.88221614","0.075074674","1"
"0.16610778","18.419054","0.89156591","84.932028","0.58221362","114.84277","321.30906","1.3115284","1.7731062","13.218466","0.82001736","0.15575842","35.486671","0.76992528","77.119883","0.50248355","115.8257","272.99286","1.3038547","1.7934177","22.594497","0.96012322","0.15409044","48.018776","0.68247515","75.614201","0.48474992","116.23157","254.43803","1.3030441","1.8096017","30.35891","1.0145079","0.15249068","45.78279","0.69715985","75.589036","0.48129869","116.195","256.57335","1.3056436","1.8224853","28.796494","1.0136068","0"
"0.65784115","0.36928465","0.9452982","3.3754343","0.92897015","3.4123547","13.132452","0.44319728","0.52059382","0.3383118","0.20484824","0.6619493","0.33111436","0.95169909","3.4276207","0.93475538","3.4211469","13.379368","0.439418","0.51078569","0.30552239","0.19265916","0.65458048","0.59557159","0.90878867","3.2647896","0.91452937","3.3793129","12.463587","0.44510381","0.53934601","0.54237554","0.23821602","0.6542516","0.49801283","0.9259162","3.3611453","0.91819629","3.408861","12.946568","0.44671149","0.53470572","0.45356096","0.22913187","1"
"0.01237582","3.358375","0.9356196","26.082276","0.52009318","38.980125","100.97073","1.5549032","2.0900763","1.637359","0.64679694","0.014605003","3.150087","0.9400388","26.26771","0.56944541","38.887217","101.92075","1.556683","2.0522624","1.7484454","0.62505327","0.0088955142","8.642177","0.83525945","26.22966","0.40797784","39.192615","96.276461","1.5475124","2.2519744","4.3960958","0.80884785","0.014068409","2.1343152","0.95900009","26.02829","0.56896271","39.051485","101.97884","1.5558297","2.0075543","1.0084831","0.56608644","0"
"0.74370374","2.3331106","0.90024257","11.693918","0.92165993","4.2206035","44.442563","0.38532712","0.48333069","2.2055647","0.23647611","0.7458674","1.3218558","0.94476649","11.966067","0.92781179","4.2672247","46.542414","0.38319665","0.46980273","1.2500713","0.21795019","0.74515084","2.9221305","0.86577163","10.884922","0.90900203","4.1062889","40.617556","0.38242037","0.48935028","2.7310568","0.26461593","0.74047549","3.2212604","0.85981141","11.489025","0.91228546","4.1717601","42.734839","0.38872382","0.49031","3.0342843","0.25976872","1"
"0.018257483","7.0440781","0.91997567","44.012104","0.55441968","67.5984","169.00434","1.6506348","2.1624521","4.7243245","0.71813221","0.016518732","5.2713373","0.94064975","44.408723","0.54960114","67.404254","172.36356","1.6545921","2.1792008","3.1946127","0.69923822","0.013235889","11.943353","0.86108133","42.986852","0.44958312","67.95318","160.00406","1.649631","2.2985875","7.0712399","0.84091058","0.014953541","9.7326323","0.88842706","43.615558","0.52086217","67.814231","164.7296","1.6480636","2.2329918","6.554167","0.75543527","0"
"0.21158508","0.66687881","0.92221002","4.2864056","0.85020756","5.2150079","16.478744","0.92349595","1.070147","0.54723688","0.32290725","0.21013156","0.73269105","0.91208695","4.1671346","0.83988247","5.1799493","15.935847","0.92277484","1.0821951","0.59224392","0.34073994","0.19681527","1.1661992","0.8594174","4.1477364","0.79679142","5.1646213","15.424746","0.93213488","1.1430337","0.91497044","0.4049532","0.19818913","0.97761161","0.88198607","4.1419331","0.80552856","5.1644006","15.590121","0.93193181","1.1303007","0.76029794","0.38884791","1"
"0.0052366518","11.755458","0.88007235","49.010623","0.37618311","57.235276","184.28704","1.7226094","2.4884782","5.9605756","0.86732219","0.0092931385","8.9714564","0.9049642","47.200406","0.52827414","57.770354","179.83017","1.719381","2.3180527","6.0572541","0.73881193","0.0044148976","17.571169","0.81386723","47.200635","0.3161807","57.968003","171.23137","1.7112085","2.5594926","8.6649367","0.94786183","0.0052453686","17.987352","0.80940215","47.186661","0.3574032","57.882227","170.75929","1.7093779","2.5301969","10.137599","0.92672462","0"
